,time,open,high,low,close,tick_volume,spread,real_volume
521,1703954760,273.16,273.43,272.99,273.43,7,140,0
522,1703954820,273.59,273.8,272.64,273.8,13,158,0
523,1703954880,273.99,274.03,273.52,273.72,14,166,0
524,1703954940,273.42,273.93,273.42,273.72,6,176,0
525,1703955000,273.98,273.98,273.52,273.96,8,171,0
526,1703955060,273.96,274.26,273.96,274.26,3,153,0
527,1703955120,274.32,274.32,273.74,274.12,6,183,0
528,1703955180,274.12,274.12,274.12,274.12,1,197,0
529,1703955240,274.29,275.22,273.72,275.22,11,164,0
530,1703955300,274.91,275.11,274.75,274.81,13,166,0
531,1703955360,274.91,274.92,274.52,274.62,6,127,0
532,1703955420,274.62,275.02,274.62,275.02,3,165,0
533,1703955480,275.02,275.14,275.02,275.14,2,165,0
534,1703955540,275.14,275.2,274.9,275.2,7,157,0
535,1703955600,275.2,275.2,274.86,275.15,5,157,0
536,1703955660,275.15,275.66,275.15,275.66,5,138,0
537,1703955720,275.67,276.09,275.67,276.09,6,150,0
538,1703955780,275.74,275.74,275.2,275.24,3,137,0
539,1703955840,275.24,275.44,275.05,275.16,7,122,0
540,1703955900,275.16,275.54,274.66,275.16,10,123,0
541,1703955960,275.32,275.32,274.93,274.94,7,124,0
542,1703956020,274.94,275.05,274.29,274.66,10,120,0
543,1703956080,274.66,275.36,274.66,275.36,11,136,0
544,1703956140,275.36,275.4,275.36,275.4,2,156,0
545,1703956200,275.45,276.27,275.45,276.27,13,120,0
546,1703956260,276.35,276.75,276.34,276.41,9,146,0
547,1703956320,276.41,276.41,275.93,275.95,9,121,0
548,1703956380,276.34,276.45,275.95,276.34,9,138,0
549,1703956440,276.14,276.14,275.94,275.95,3,161,0
550,1703956500,275.75,275.75,275.53,275.53,3,124,0
551,1703956560,275.53,276.12,275.53,276.05,7,136,0
552,1703956620,276.09,276.34,276.04,276.24,8,123,0
553,1703956680,276.24,276.24,275.63,275.91,10,115,0
554,1703956740,276.04,276.04,275.81,275.81,4,126,0
555,1703956800,275.81,275.94,275.46,275.74,8,121,0
556,1703956860,275.74,276.33,275.74,276.14,9,124,0
557,1703956920,276.14,276.33,275.46,275.64,15,119,0
558,1703956980,275.65,275.84,275.65,275.79,5,131,0
559,1703957040,275.79,275.79,275.21,275.35,11,116,0
560,1703957100,275.35,275.76,275.35,275.76,7,135,0
561,1703957160,275.65,276.14,275.65,276.02,8,113,0
562,1703957220,276.02,276.16,275.56,275.57,8,119,0
563,1703957280,275.86,276.07,275.58,275.86,7,117,0
564,1703957340,275.86,275.86,275.86,275.86,1,178,0
565,1703957400,275.87,276.36,275.87,276.16,5,141,0
566,1703957460,276.17,276.17,275.76,275.77,5,166,0
567,1703957520,275.77,275.77,275.77,275.77,1,167,0
568,1703957580,275.77,275.95,275.77,275.95,2,130,0
569,1703957640,275.95,275.95,275.37,275.37,10,110,0
570,1703957700,275.37,275.39,275.37,275.39,2,164,0
571,1703957760,275.39,275.99,275.16,275.68,9,127,0
572,1703957820,275.87,275.87,275.68,275.68,2,156,0
573,1703957880,275.74,275.92,275.74,275.76,3,119,0
574,1703957940,275.76,275.96,275.76,275.77,4,119,0
575,1703958000,275.77,275.77,275.56,275.56,2,166,0
576,1703958060,275.56,275.57,275.56,275.57,2,166,0
577,1703958120,275.57,275.57,275.06,275.06,5,119,0
578,1703958180,275.06,275.26,275.05,275.05,3,119,0
579,1703958240,275.06,275.46,275.06,275.28,10,119,0
580,1703958300,275.28,275.28,275.09,275.18,3,154,0
581,1703958360,275.33,275.64,275.33,275.64,4,129,0
582,1703958420,275.64,276.25,275.46,276.23,9,119,0
583,1703958480,276.23,276.49,276.23,276.49,4,119,0
584,1703958540,276.49,276.76,276.49,276.71,5,125,0
585,1703958600,276.71,276.94,276.71,276.9,3,122,0
586,1703958660,276.9,276.9,276.54,276.76,8,116,0
587,1703958720,276.76,276.76,276.76,276.76,1,140,0
588,1703958780,277.03,277.74,276.82,277.73,11,115,0
589,1703958840,277.73,277.85,277.23,277.23,8,152,0
